election_year,party_id,seats,vote_share_est,turnout,vote_confidence,seats_confidence
2011,P001,52,11.3,45.4,LOW,HIGH
2011,P002,47,11.1,45.4,LOW,HIGH
2011,P003,60,11.9,45.4,LOW,HIGH
2011,P004,107,27.1,45.4,LOW,HIGH
2011,P005,39,8.6,45.4,LOW,HIGH
2011,P006,32,7.5,45.4,LOW,HIGH
2011,P007,18,5.7,45.4,LOW,HIGH
2011,P008,23,5.8,45.4,LOW,HIGH
2011,P009,17,11.0,45.4,LOW,MEDIUM
2016,P001,37,9.4,43.0,LOW,HIGH
2016,P002,102,21.0,43.0,LOW,HIGH
2016,P003,46,10.7,43.0,LOW,HIGH
2016,P004,125,27.9,43.0,LOW,HIGH
2016,P005,20,6.2,43.0,LOW,HIGH
2016,P006,27,6.9,43.0,LOW,HIGH
2016,P007,12,4.7,43.0,LOW,HIGH
2016,P008,19,4.7,43.0,LOW,HIGH
2016,P009,7,8.5,43.0,LOW,MEDIUM
2021,P001,102,27.5,50.35,LOW,HIGH
2021,P002,87,20.5,50.35,LOW,HIGH
2021,P003,81,19.5,50.35,LOW,HIGH
2021,P004,13,7.0,50.35,LOW,HIGH
2021,P005,34,8.0,50.35,LOW,HIGH
2021,P006,28,7.0,50.35,LOW,HIGH
2021,P007,22,5.0,50.35,LOW,HIGH
2021,P008,18,4.5,50.35,LOW,HIGH
2021,P009,10,1.0,50.35,LOW,MEDIUM
