map_unit,region,party,votes,local_seats
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PAM,47463,2
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,RNI,46396,2
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PI,21661,1
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,USFP,15123,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,MP,11634,1
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,UC,9392,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PJD,8980,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PPS,2705,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PSU,1946,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,AFG,751,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PCS,649,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PML,483,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PVM,457,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,FFD,269,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PDI,115,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,RNI,35299,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PAM,30383,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PI,16274,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,USFP,12589,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,MP,11169,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PPS,10788,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,AFG,9566,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PJD,6852,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,MDS,6255,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,FFD,3328,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PSU,946,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PVM,671,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PDN,208,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PRV,103,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PSD,66,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,RNI,37584,1
