rank,party_id,party,score,ci_lo,ci_hi,coverage,provisional_score_not_ranked,D_delivery,C_promise_credibility_(2021),E_electoral_efficiency,G_governance,L_leadership,M_mandate_coherence
1,P001,RNI,0.616,0.566,0.661,6/6,0.616,0.667,0.376,0.86,0.85,0.5,0.7
2,P002,PAM,0.427,0.337,0.487,6/6,0.427,0.167,0.385,0.791,0.75,0.55,0.65
,P003,Istiqlal,,,,5/6,0.577,,0.372,0.787,0.7,0.6,0.65
,P004,PJD,,,,5/6,0.454,,0.343,0.701,0.4,0.55,0.5
,P005,USFP,,,,5/6,0.518,,0.343,0.956,0.45,0.65,0.6
,P006,MP,,,,5/6,0.468,,0.2,0.996,0.55,0.6,0.6
,P007,PPS,,,,5/6,0.51,,0.367,0.941,0.4,0.65,0.6
,P008,UC,,,,5/6,0.41,,0.2,0.685,0.45,0.55,0.55
,P010,MDS,,,,1/6,,,,0.604,,,
,P011,FFD,,,,1/6,,,,0.725,,,
,P012,CNI,,,,0/6,,,,,,,
,P013,PSU,,,,1/6,,,,0.0,,,
